FNAME,LNAME,GENDER,TELNO,BIRTHDATE,IDNUMBER,CITY,TOWN
HÜSAMEDDİN,EROL,M,5525669877,1934-09-20,67652510890,BALIKESIR,ERDEK
SELMAN,YILDIZ,M,5519805283,1969-10-16,57838094873,MANISA,SARIGÖL
PELİN,TÜLPAR,F,5368135406,1965-07-04,53037195883,KIRSEHIR,ÇIÇEKDAGI
SADUN,AKGÜL,M,5364311600,1935-11-11,50364571351,KÜTAHYA,ÇAVDARHISAR
FİLİZ,ERDEN,F,5388344750,1996-06-01,35867022568,ÇANKIRI,YAPRAKLI
NESİMİ,YILDIZ,M,5430025848,1932-02-18,39995636918,ANTALYA,KONYAALTI
MÜRSEL,MÜEZZİNOĞLU,M,5517746240,1958-08-03,65984426746,VAN,ÇALDIRAN
EMİR,DEMİRKOL,M,5536881866,1934-09-22,68116337396,ADANA,SAIMBEYLI
UTKU,ŞİRZAİ,F,5309520440,1930-10-16,36043536263,KAYSERI,INCESU
SANEM,SAK,F,5426660610,2023-02-10,83059966127,ISPARTA,GELENDOST
VELİ,DUMAN,M,5433120833,1953-08-27,20741271944,GÜMÜSHANE,TORUL
ENİSE,CÖMERT,F,5379672723,1960-08-26,19603351714,USAK,GÖLBASI
RİFAT,AKSUN,M,5327651659,1975-08-05,47475435809,BITLIS,MUTKI
FEDAİ,BÜLBÜL,M,5385131947,2018-06-05,36979630803,SINOP,TÜRKELI
HAN,KARASU,M,5526300860,2005-05-19,50537937234,ERZURUM,AZIZIYE
HİCABİ,YURDAM,M,5436471291,1992-06-03,80268615812,SIRNAK,MERKEZ
BEDİZ,DAL,F,5447961841,2019-01-16,80590278550,ARTVIN,YUSUFELI
DERVİŞ,YALÇIN,M,5486838247,1953-03-16,54072968023,USAK,MERKEZ
HALDUN,TAYYAR,M,5439583261,1993-03-20,37190421181,KAYSERI,MELIKGAZI
MİRAÇ,ŞİMŞEK,M,5507164191,2015-06-04,40822665343,ÇANAKKALE,ÇAN
ETEM,FAKIOĞLU,M,5373049589,1949-05-08,45158145132,KILIS,MUSABEYLI
DENİZ,YILDIZ,F,5300961222,1942-03-21,18497986136,HATAY,BELEN
TÜRKAN,İLGÜN,F,5558503862,1980-11-29,56183893545,SINOP,BOYABAT
ÇELEBİ,ERGÜLÜ EŞMEN,M,5532571516,1978-07-18,69938649604,ANKARA,YENIMAHALLE
CELAL,İNCE,M,5576363024,2017-01-22,47961363344,MUGLA,MERKEZ
TAMER,KIR,M,5347793344,1983-07-28,56945940851,ISPARTA,SÜTÇÜLER
KEREM,TANTEKİN,M,5347667776,1969-12-15,61880197568,EDIRNE,SÜLOGLU
ŞEMSEDDİN,CANBAZ,M,5557899271,1963-11-10,16160198132,ÇANAKKALE,BOZCAADA
SU,ÖRNEK,F,5317081044,1958-02-15,27275674221,HATAY,DÖRTYOL
NURGÜL,KAYA,F,5449611910,1956-10-16,18456732505,MERSIN,MUT
GÜNNUR,ÖZDOĞAN,F,5386655641,1938-03-29,19080308778,SAKARYA,KAYNARCA
BABACAN,KARPUZOĞLU,M,5306413586,1953-09-09,12842015807,BURDUR,TEFENNI
PERRAN,TUNCEL,F,5325077257,1966-03-25,68147561435,TRABZON,ARAKLI
VECİT,KÜÇÜKGÖNCÜ,M,5513910779,1996-03-19,83493588565,KIRIKKALE,MERKEZ
DOĞAN,PEKGÖZ,M,5574380830,1959-08-13,35007098482,DENIZLI,BEKILLI
TACİ,SÖZEN,M,5503334305,1937-05-27,23556574252,TRABZON,GÖLBASI
ERCÜMEND,AYMAN,M,5525244099,1931-03-16,87208958772,HATAY,ISKENDERUN
FERİHA,BABUŞ,F,5580209358,1932-10-18,10254429215,KÜTAHYA,PAZARLAR
FÜREYYA,KUTLUCAN BAĞCI,F,5472146570,1990-09-22,86739664661,TUNCELI,MERKEZ
EFTALYA,YILDIZ ALTUN,F,5537068038,1992-11-19,39932214909,ERZURUM,ASKALE
VELİ,DUMAN,M,5371444192,1997-09-16,79561508455,DÜZCE,ÇILIMLI
MÜKERREM,AKDENİZ,M,5409429572,1988-01-07,47066148494,BILECIK,INHISAR
FİLİZ,ERDEN,F,5576385745,1950-11-06,24782986316,ELAZIG,KARAKOÇAN
MUAMMER,BAYRAKTAR,M,5483599115,1935-11-09,51605389079,KAYSERI,YESILHISAR
ASUELA,ÖZER,F,5405212090,2013-08-20,56076365393,YOZGAT,SARIKAYA
ANDAÇ,YAVUZ,F,5491081014,1942-04-07,67624622084,AFYONKARAHISAR,SULTANDAGI
SEDEF,ALKURT KAYIKÇI,F,5497864778,1942-04-06,51691236163,TEKIRDAG,MURATLI
BALIN,KARAKUM,F,5306768060,1952-03-13,42013476433,MUGLA,KAVAKLIDERE
HAMZA,MALÇOK,M,5448965231,2019-08-23,84993720096,MERSIN,MUT
İREM,ENGİZ,F,5480343793,1935-01-04,26560763044,KARAMAN,ERMENEK
İŞIN,HEPKAYA,F,5394307474,1948-10-03,36419198409,IZMIR,NARLIDERE
GÜLŞEN,GÜL,F,5566641664,2004-03-26,40282613814,ERZURUM,PASINLER
MURAT,KOÇARSLAN,M,5444164175,1972-01-30,12576138886,IZMIR,TIRE
FERMAN,AKŞAHİN,M,5518732885,1990-08-08,78206202766,SIIRT,PERVARI
TURGAY,HIDIROĞLU,M,5567971919,2012-10-06,39957048671,RIZE,MERKEZ
SEYYİD,DÖKMECİ,M,5476004100,1969-08-04,16009417615,DÜZCE,MERKEZ
İLKNUR,ELLİALTI,F,5547809981,1938-06-25,68242276057,ORDU,KORGAN
İNCİ,MUTLU,F,5584638317,1954-06-29,27536285379,ISPARTA,AKSU
ABENDAM,ŞEN,F,5323106553,1937-03-20,23294923841,SAMSUN,TERME
PINAR,GİNİŞ,F,5376750204,1986-06-06,24599067243,BATMAN,BESIRI
HANDESU,MERCAN,F,5496393053,2017-10-28,84629028215,DIYARBAKIR,HAZRO
AFFAN,UZUN,M,5508848544,1951-10-12,82275871074,MARDIN,DERIK
AVŞAR,GÜNAY,M,5479181800,2007-08-08,39514742326,IZMIR,KONAK
ŞERAFEDDİN,DEMİR,M,5370330038,2013-01-19,25227418012,ADANA,SEYHAN
MURAT,KOÇARSLAN,M,5461961269,1973-12-26,21816296599,KONYA,ALTINEKIN
METİN,KUSERLİ,M,5584862859,1974-10-09,85099021748,BURSA,BÜYÜKORHAN
HAFİD,KAYABAŞ,M,5355163476,2004-06-27,53954253935,VAN,BASKALE
FUAT,IŞIK,M,5458500930,1937-09-20,23760015927,MALATYA,HEKIMHAN
FUAT,IŞIK,M,5496341465,1973-07-15,71748869256,KONYA,CIHANBEYLI
ENES,AKIN,M,5525824689,1967-02-02,29677710783,BALIKESIR,SUSURLUK
HALİL,YANCAR,M,5499629486,1985-05-11,45315416959,SIIRT,MERKEZ
MİHRİBAN,TANRIVERDİ YILMAZ,F,5309804777,1962-04-18,23578861393,ISTANBUL,KADIKÖY
FARUK,AKIN,M,5434732966,2021-04-03,70027455347,KARS,ARPAÇAY
CİVAN,KARACA,M,5450919588,1995-03-05,88248571527,KOCAELI,BASISKELE
ALİSA,UYANIK,F,5476323230,1945-05-29,31511275184,BINGÖL,YAYLADERE
CANNUR,YAVAŞİ,F,5302743200,1948-06-07,79901720543,ADIYAMAN,ÇELIKHAN
ADNAN,METE,M,5582400840,1943-03-14,89092514246,YOZGAT,BOGAZLIYAN
SEVAL,SÖKER,F,5438935412,1994-06-16,52995621133,AFYONKARAHISAR,MERKEZ
GÜHER,ARKAN,F,5542916219,2007-01-11,34690959073,ÇORUM,MERKEZ
UBEYDULLAH,KARAHAN,M,5412754223,1970-09-11,58204230920,SAKARYA,KARASU
DEMET,BODUROĞLU,F,5482109497,1966-10-14,80205675389,TUNCELI,NAZIMIYE
TUNAY,ÖZKAN,F,5446708876,1994-01-09,50837973464,YALOVA,ÇINARCIK
VAKUR,YACI,M,5554453169,1973-01-25,87489418803,ARDAHAN,DAMAL
HAKKI,DEĞİRMENCİ AKAR,M,5541349803,1950-12-08,74075797810,SIIRT,ERUH
DAHİ,BÜYÜKTAŞ,M,5553990295,2020-09-01,37282924469,ORDU,KABADÜZ
DERYA,GÜLER,F,5584066858,1940-12-08,57714233105,ÇORUM,DODURGA
AMELYA,ORHON,F,5400586540,1938-05-24,70713780358,SAKARYA,FERIZLI
BERİNAY,YILMAZ,F,5382077630,1963-11-01,35852337170,KARABÜK,MERKEZ
EFE,BİNNETOĞLU,M,5528726949,1977-05-02,76914801773,TEKIRDAG,MERKEZ
HÜRMÜZ,OLPAK,F,5534918307,2006-02-19,31834399664,ARDAHAN,MERKEZ
FÜRUZAN,CENGİZ,F,5358411513,1947-02-15,18807827534,YALOVA,ARMUTLU
FERAMUŞ,IŞIK,M,5518613461,2002-01-31,59041943928,KASTAMONU,AZDAVAY
MUHTEREM,KOYUNCU,M,5528081236,2009-06-28,53835655444,MALATYA,YAZIHAN
NECİH,YAĞCI,M,5534756645,2007-05-29,47483358233,AFYONKARAHISAR,EMIRDAG
GÜLDEM,YILDIZ,F,5474879425,1997-08-03,13780342994,BOLU,SEBEN
NAMDAR,YÜCEL,M,5345575235,1947-10-03,79124849441,KIRIKKALE,SULAKYURT
NUR,KILIÇ,F,5499824560,2000-05-09,83403898404,TRABZON,YOMRA
MÜŞİR,AYHAN,M,5530238227,1940-04-11,64020169015,SAKARYA,SÖGÜTLÜ
ŞİHAB,ÖZDAMAR,M,5446992189,1931-07-24,39128684493,ÇANAKKALE,GÖKÇEADA
BELEMİR,GÜMÜŞAY,F,5345067553,1972-08-31,69042271721,KARS,KAGIZMAN
RAHİME,SEZGİN,F,5333833355,1957-04-23,68650813985,ERZURUM,HORASAN
BEŞER,SÜL,M,5471631378,1972-03-21,60178183396,MUGLA,FETHIYE
ULVİYE,AYTEKİN,F,5418852753,1977-02-05,78569404486,SANLIURFA,SURUÇ
MİNE,TAŞKIN,F,5555928440,1931-11-19,76792696913,OSMANIYE,TOPRAKKALE
TAYFUR,EVRENOS,M,5351344316,1965-05-20,88773865235,MERSIN,MEZITLI
ŞEYBAN,GÖNCÜ,M,5467745581,1977-05-28,59601805393,ISPARTA,ULUBORLU
KIYMET,GÖK,M,5519245357,1966-02-19,88672422669,MUGLA,ULA
HADİSE,ARSLAN,F,5567443643,1996-07-21,23628184010,DENIZLI,ÇAMELI
AHENK,ERTEKİN,F,5478862009,2016-07-26,44176029327,KIRSEHIR,AKÇAKENT
VELİ,DUMAN,M,5501481986,1932-05-13,11324819943,ÇANKIRI,BAYRAMÖREN
FEYZA,KAPLAN,F,5313535555,1972-10-02,42188133341,ISPARTA,KEÇIBORLU
ELÇİN,ÖZDEMİR,F,5445470766,1939-10-02,51219032106,GIRESUN,KESAP
AŞKIN,KURT,M,5579755456,1958-08-15,46512072470,KONYA,SEYDISEHIR
DESTAN,ERASLAN,F,5446710168,2013-11-03,41235088396,KÜTAHYA,DUMLUPINAR
AMARA,UZ,F,5488394269,1966-03-03,73760167243,BURSA,GEMLIK
AYREN,ÖZTÜRK,F,5585493385,1992-12-26,56594518773,SIRNAK,SILOPI
HANDESU,MERCAN,F,5589932859,1966-06-08,81994996636,BURDUR,AGLASUN
SENAY,GENÇ TALAS,F,5575888455,1995-01-30,65224143997,ISTANBUL,EYÜP
DANİŞMEND,SAVAŞ,M,5367191590,2023-01-20,45572390562,ANKARA,MAMAK
VELİ,DUMAN,M,5403404051,1987-06-12,35727425283,BURSA,GÜRSU
SEYYİD,DÖKMECİ,M,5467672190,1995-12-26,71124076876,SAMSUN,ALAÇAM
BEKİR,TOHUMOĞLU,M,5407084274,2011-02-01,89074754935,KAYSERI,MELIKGAZI
AHMED,EKİCİ,M,5444553417,2005-09-14,79348891578,KIRIKKALE,DELICE
İLHAMİ,BAYRAMOĞLU,M,5527328265,2001-07-20,12270033522,ORDU,GÖLBASI
SELDA,TAVŞAN,F,5497860392,2018-06-05,14035428253,AFYONKARAHISAR,GÖLBASI
MÜZDAD,UYGUR,M,5478849909,1953-05-24,42570000664,IZMIR,ÇIGLI
SEÇİL,KOCABAŞ,F,5556116539,2018-01-11,58848159907,RIZE,ARDESEN
İŞILAY,GAYRETLİ AYDIN,F,5452791504,1969-10-28,74554858601,BAYBURT,DEMIRÖZÜ
CİHANŞAH,SEVEN,M,5483738490,1983-07-25,76811347161,ANKARA,BALA
AFFAN,UZUN,M,5485120306,1992-05-15,20960946773,BALIKESIR,MERKEZ
DANİŞMEND,SAVAŞ,M,5306050926,1989-07-07,82636263159,TRABZON,OF
BAHADIR,BEYOĞLU,M,5340148542,1969-04-11,48250343703,ISPARTA,ATABEY
BUĞRA,BALLI,M,5584308718,2006-09-09,74066342567,ADANA,ÇUKUROVA
FULDEM,ERBAŞ,F,5302360790,1963-06-11,79186607954,ZONGULDAK,DEVREK
MERİÇ:,ÜNAL,F,5487570942,1991-01-08,55912085551,ÇANKIRI,ORTA
KAMİLE,PİRİM,F,5576822075,1957-03-21,22440639420,AFYONKARAHISAR,ÇAY
ÖZLEN,ALPINAR,F,5486716176,1948-12-25,79828533168,GAZIANTEP,NURDAGI
ÜMMİYE,BULUT,F,5534944009,2011-11-08,70152198023,ANKARA,SINCAN
YAVER,SARICANBAZ,M,5403794446,1930-01-02,55761413960,ISTANBUL,BÜYÜKÇEKMECE
ŞENAY,DEMİRHAN,F,5453871678,2016-08-30,36630523066,YOZGAT,SEFAATLI
BEHREM,AYHAN,F,5319881104,2020-11-29,51565228730,ELAZIG,PALU
YAVER,SARICANBAZ,M,5444397428,1967-08-20,32117628741,KIRKLARELI,PINARHISAR
FULDEM,ERBAŞ,F,5594218307,1948-01-24,67382889764,ANKARA,ÇUBUK
FÜREYYA,KUTLUCAN BAĞCI,F,5403784359,2012-12-01,16299180855,ERZURUM,ISPIR
ZERRİN,OKTAY,F,5314812651,1969-03-25,85718621568,ESKISEHIR,TEPEBASI
RAFET,AYDIN,M,5459433172,2001-11-22,60840177246,SIIRT,AYDINLAR
SERTAP,ÇİMEN,F,5302511949,1938-06-08,33426221969,KONYA,HÜYÜK
MAHMUR,KESKİN,M,5424084537,1943-07-01,33371665235,SANLIURFA,SIVEREK
ARDA,SAYIN,M,5461341599,1977-05-19,51138203669,AYDIN,DIDIM
DİLHAN,BEREKET,M,5585451622,1992-05-18,25140750760,ORDU,ÇAMAS
BEHZAT,YILDIRIM,M,5392769194,1965-12-14,47559562184,IZMIR,ALIAGA
AYVAZ,KURTULUŞ,M,5431231110,1984-08-31,50084475264,AFYONKARAHISAR,EMIRDAG
BERCESTE,ŞEYHANLI,F,5595384536,1993-06-26,62733181439,ANTALYA,AKSU
ZİYAD,KARACAN,M,5483905065,1991-07-30,52775424093,YOZGAT,BOGAZLIYAN
SİNAN,ÖZATEŞ,M,5457466848,1997-05-22,66771836490,ESKISEHIR,ALPU
MÜNEVVER,GAZETECİ TEKİN,F,5489608700,1968-02-07,51465818398,ARDAHAN,ÇILDIR
HAZAN,KARADEMİR,F,5329706744,1967-08-20,21755546692,TRABZON,ÇARSIBASI
NİDA,ATEŞ,F,5441258346,2008-06-14,38633741200,VAN,ÖZALP
İREM,ENGİZ,F,5453794570,1971-07-12,63365861693,AYDIN,MERKEZ
NESİMİ,YILDIZ,M,5589280297,1995-10-08,45863664079,VAN,MERKEZ
TALHA,ÇEPNİ,M,5454171501,1944-11-16,39115169959,ESKISEHIR,SARICAKAYA
EFTALYA,YILDIZ ALTUN,F,5549766142,1976-08-24,85146111968,ISTANBUL,ESENYURT
SİNEM,BOLAÇ,F,5312864382,1985-04-15,12680765997,MERSIN,ANAMUR
ELVAN,NİZAM,M,5406070088,2022-09-30,33005112190,DIYARBAKIR,HAZRO
MUKADDES,EKİCİ,F,5554464092,1958-11-26,64833794901,ADIYAMAN,BESNI
YAĞMUR,ZORLU KARAYİĞİT,F,5513065009,1936-11-20,53542557621,YALOVA,ÇIFTLIKKÖY
KEVSER,KIZMAZOĞLU,F,5431182863,1994-01-04,29894161898,KASTAMONU,KÜRE
PAKİZE,UYAR,F,5432335161,2023-03-28,62295324473,DIYARBAKIR,SUR
NUSRET,TAŞAR,M,5350854428,1987-02-28,37172637973,ESKISEHIR,SIVRIHISAR
ALTIN,ABACIOĞLU,F,5400578404,1947-11-10,17505888818,TEKIRDAG,MALKARA
ÖZNUR,CİNDEMİR,F,5510476728,1932-05-06,35077243927,KONYA,YUNAK
PERVİN,ÇETEMEN,F,5523243339,1997-12-16,41355510916,AYDIN,KUYUCAK
MERVE,ÇELİK,F,5588829739,2020-06-11,23635607989,KASTAMONU,TOSYA
GÜLDESTE,BEKTAŞ,F,5375101208,1971-04-14,66581704106,GIRESUN,YAGLIDERE
NİZAM,TUNCAY,M,5330792236,1966-07-20,76634791942,ANKARA,AKYURT
ZÜMRÜT,KAZANCI,F,5365025378,1962-04-19,34261074317,BURSA,OSMANGAZI
CİHANŞAH,SEVEN,M,5532264341,1960-06-15,18848089718,ÇANAKKALE,GÖKÇEADA
MÜRSEL,MÜEZZİNOĞLU,M,5491408694,1988-09-06,67754012239,ISPARTA,EGIRDIR
UBEYDULLAH,KARAHAN,M,5402771612,2013-10-30,45187709094,KAYSERI,KOCASINAN
ŞİİR,AYHAN,F,5570122984,1950-05-17,45764248609,SINOP,MERKEZ
NECİH,YAĞCI,M,5546255316,1950-02-04,76684371042,KONYA,ÇUMRA
ŞECAEDDİN,ÖZÜAK,M,5591358312,1983-12-21,86965943969,MARDIN,KIZILTEPE
CANİB,DEMİRÖZ,M,5300867728,2018-11-13,24839258929,USAK,BANAZ
ŞEMSİ,AL,M,5506188889,1977-09-14,79533568368,HAKKARI,YÜKSEKOVA
NASREDDİN,DEMİR,M,5576583646,1931-05-16,58671677303,ISTANBUL,KADIKÖY
ŞİNASİ,ÇAVDAR,M,5597533398,1991-02-02,58072383060,KONYA,TUZLUKÇU
MECDEDDİN,SÜRMEN AKYOL,M,5452040631,1939-07-19,77500833786,NIGDE,ÇAMARDI
PELİN,TÜLPAR,F,5535628288,1970-02-08,22234528530,AGRI,TASLIÇAY
İŞIL,GÜNEY KOCABAŞ,F,5531537377,2000-07-10,63471816242,OSMANIYE,SUMBAS
HAYAT,BİÇER,F,5538745394,2004-01-17,56223220177,ÇORUM,MERKEZ
FARUK,AKIN,M,5471567728,1963-01-27,61182695688,BALIKESIR,MARMARA
TAMER,KIR,M,5456637691,1973-03-09,23660123360,NEVSEHIR,DERINKUYU
DAHİ,BÜYÜKTAŞ,M,5485039454,1965-01-20,73881321369,ERZURUM,PASINLER
FAHRÜNİSSA,URFALI,F,5443084056,1975-09-27,16879942379,DENIZLI,MERKEZ
TÜNAY,AŞIK,F,5489096481,1954-03-11,57099249719,ISTANBUL,SISLI
MÜNEVVER,GAZETECİ TEKİN,F,5573901777,1993-12-11,78322227550,KASTAMONU,CIDE
RACİ,ERYILMAZ,M,5307022026,2009-11-23,67059686017,IZMIR,KARABURUN
ANİTA,KAYA,F,5329265994,1994-07-15,51510353829,SAMSUN,VEZIRKÖPRÜ
ÇİMEN,GİRAY,F,5551378664,1972-06-12,42073658845,SINOP,ERFELEK
ERDEM,SAÇLI,M,5441025046,1992-08-27,27862933127,KAHRAMANMARAS,ANDIRIN
BEHREM,AYHAN,F,5331975374,2021-08-20,61511521960,IZMIR,KINIK
OZAN,DALYAN CİLO,M,5578083912,1952-08-02,32028798235,KONYA,SARAYÖNÜ
HAKEM,BOLAT,M,5354247241,1981-10-01,17575930125,KASTAMONU,GÖLBASI
KERAMİ,ORHAN,M,5367793658,1972-10-14,14516644712,BILECIK,PAZARYERI
TAKİ,KARAKAYA,M,5306487766,2022-05-24,56528983606,ANTALYA,DEMRE
KELEŞ,GÜNDÜZ,M,5438952619,1948-09-15,41324212517,TUNCELI,ÇEMISGEZEK
SEDEF,ALKURT KAYIKÇI,F,5562158333,1995-06-25,59181554302,ANTALYA,GÖLBASI
ENGİN,BOZOĞLAN,M,5494691951,2015-01-18,27671165106,TEKIRDAG,MERKEZ
İŞIN,HEPKAYA,F,5419741957,1940-02-29,83085305323,GAZIANTEP,YAVUZELI
ENGİN,BOZOĞLAN,M,5308791555,1959-08-29,21265315911,DIYARBAKIR,HAZRO
ÇIGIL,ŞELİMAN,F,5484129653,1933-10-10,81631157022,TRABZON,SÜRMENE
